;; @T(#) @T(#)
;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;
;; ENG Telemetry Template File  -  Data Product Grouping information  -  Part 7 of 8
;;
;; This information is based on attributes associated with the structure of 
;; a FITS data file.
;;
;;
;; 	File id (valid values >= 1, 0 = n/a)
;;	|
;;	|	Group id (valid values >= 1)
;;	|	|
;;	|	|	Orientation  (ROW, COL)
;;	|	|	|
;;	|	|	|	Group type (BINARY, ASCII, IMAGE)
;;	|	|	|	|
;;	|	|	|	|		        Group short name (max 8 characters)
;;	|	|	|	|		        |
;;	|	|	|	|		        |		Descriptive short comment (max 50 characters)
;;	|	|	|	|		        |		|
;;	|	|	|	|		        |		|
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;
;;
;;
;; GENERATE_EDE_TEMPLATES version 2.35 (June 3, 1999)
;; PREPROCESS_1949_DATABASE version 2.3 (June 3, 1999)
;;
;;
;;
;;ACIS engineering telemetry - group definitions
;;
;;
	10102	102	COL	BINTABLE	AXAF_ACIS	"ACIS2ENG engineering telemetry "
	10103	103	COL	BINTABLE	AXAF_ACIS	"ACIS3ENG engineering telemetry "
	10104	104	COL	BINTABLE	AXAF_ACIS	"ACIS4ENG engineering telemetry "
;;
;;
;;MISC engineering telemetry - group definitions
;;
;;
	10201	201	COL	BINTABLE	AXAF_MISC	"MISC1ENG engineering telemetry "
	10202	202	COL	BINTABLE	AXAF_MISC	"MISC2ENG engineering telemetry "
	10203	203	COL	BINTABLE	AXAF_MISC	"MISC3ENG engineering telemetry "
	10204	204	COL	BINTABLE	AXAF_MISC	"MISC4ENG engineering telemetry "
	10205	205	COL	BINTABLE	AXAF_MISC	"MISC5ENG engineering telemetry "
	10206	206	COL	BINTABLE	AXAF_MISC	"MISC6ENG engineering telemetry "
	10207	207	COL	BINTABLE	AXAF_MISC	"MISC7ENG engineering telemetry "
	10208	208	COL	BINTABLE	AXAF_MISC	"MISC8ENG engineering telemetry "
;;
;;
;;CCDM engineering telemetry - group definitions
;;
;;
	10301	301	COL	BINTABLE	AXAF_CCDM	"CCDM1ENG engineering telemetry "
	10302	302	COL	BINTABLE	AXAF_CCDM	"CCDM2ENG engineering telemetry "
	10303	303	COL	BINTABLE	AXAF_CCDM	"CCDM3ENG engineering telemetry "
	10304	304	COL	BINTABLE	AXAF_CCDM	"CCDM4ENG engineering telemetry "
	10305	305	COL	BINTABLE	AXAF_CCDM	"CCDM5ENG engineering telemetry "
	10307	307	COL	BINTABLE	AXAF_CCDM	"CCDM7ENG engineering telemetry "
	10308	308	COL	BINTABLE	AXAF_CCDM	"CCDM8ENG engineering telemetry "
	10310	310	COL	BINTABLE	AXAF_CCDM	"CCDM10ENG engineering telemetry "
	10311	311	COL	BINTABLE	AXAF_CCDM	"CCDM11ENG engineering telemetry "
	10312	312	COL	BINTABLE	AXAF_CCDM	"CCDM12ENG engineering telemetry "
	10313	313	COL	BINTABLE	AXAF_CCDM	"CCDM13ENG engineering telemetry "
;;
;;
;;CPE engineering telemetry - group definitions
;;
;;
;;
;;
;;EPHIN engineering telemetry - group definitions
;;
;;
	10501	501	COL	BINTABLE	AXAF_EPHIN	"EPHIN1ENG engineering telemetry "
	10502	502	COL	BINTABLE	AXAF_EPHIN	"EPHIN2ENG engineering telemetry "
;;
;;
;;EPS engineering telemetry - group definitions
;;
;;
	10601	601	COL	BINTABLE	AXAF_EPS	"EPS1ENG engineering telemetry "
	10602	602	COL	BINTABLE	AXAF_EPS	"EPS2ENG engineering telemetry "
	10603	603	COL	BINTABLE	AXAF_EPS	"EPS3ENG engineering telemetry "
	10604	604	COL	BINTABLE	AXAF_EPS	"EPS4ENG engineering telemetry "
	10605	605	COL	BINTABLE	AXAF_EPS	"EPS5ENG engineering telemetry "
	10606	606	COL	BINTABLE	AXAF_EPS	"EPS6ENG engineering telemetry "
	10607	607	COL	BINTABLE	AXAF_EPS	"EPS7ENG engineering telemetry "
	10609	609	COL	BINTABLE	AXAF_EPS	"EPS9ENG engineering telemetry "
	10610	610	COL	BINTABLE	AXAF_EPS	"EPS10ENG engineering telemetry "
;;
;;
;;HRC engineering telemetry - group definitions
;;
;;
	10702	702	COL	BINTABLE	AXAF_HRC	"HRC2ENG engineering telemetry "
	10704	704	COL	BINTABLE	AXAF_HRC	"HRC4ENG engineering telemetry "
	10705	705	COL	BINTABLE	AXAF_HRC	"HRC5ENG engineering telemetry "
	10707	707	COL	BINTABLE	AXAF_HRC	"HRC7ENG engineering telemetry "
;;
;;
;;OBC engineering telemetry - group definitions
;;
;;
	10801	801	COL	BINTABLE	AXAF_OBC	"OBC1ENG engineering telemetry "
	10802	802	COL	BINTABLE	AXAF_OBC	"OBC2ENG engineering telemetry "
	10803	803	COL	BINTABLE	AXAF_OBC	"OBC3ENG engineering telemetry "
	10804	804	COL	BINTABLE	AXAF_OBC	"OBC4ENG engineering telemetry "
	10805	805	COL	BINTABLE	AXAF_OBC	"OBC5ENG engineering telemetry "
;;
;;
;;PCAD engineering telemetry - group definitions
;;
;;
	10903	903	COL	BINTABLE	AXAF_PCAD	"PCAD3ENG engineering telemetry "
	10904	904	COL	BINTABLE	AXAF_PCAD	"PCAD4ENG engineering telemetry "
	10905	905	COL	BINTABLE	AXAF_PCAD	"PCAD5ENG engineering telemetry "
	10906	906	COL	BINTABLE	AXAF_PCAD	"PCAD6ENG engineering telemetry "
	10907	907	COL	BINTABLE	AXAF_PCAD	"PCAD7ENG engineering telemetry "
